user,arn,user_creation_time,password_enabled,password_last_used,password_last_changed,password_next_rotation,mfa_active,access_key_1_active,access_key_1_last_rotated,access_key_1_last_used_date,access_key_1_last_used_region,access_key_1_last_used_service,access_key_2_active,access_key_2_last_rotated,access_key_2_last_used_date,access_key_2_last_used_region,access_key_2_last_used_service,cert_1_active,cert_1_last_rotated,cert_2_active,cert_2_last_rotated
<root_account>,arn:aws:iam::862279563460:root,2023-07-25T06:34:18+00:00,not_supported,2023-08-30T08:53:18+00:00,not_supported,not_supported,true,false,N/A,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
admin,arn:aws:iam::862279563460:user/admin,2023-07-25T06:49:28+00:00,true,2024-05-31T05:43:44+00:00,2023-07-25T07:14:32+00:00,N/A,true,true,2023-12-28T09:57:03+00:00,2023-12-28T09:59:00+00:00,ap-northeast-2,eks,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
ansibleadmin,arn:aws:iam::862279563460:user/ansibleadmin,2023-08-24T08:37:42+00:00,false,N/A,N/A,N/A,false,true,2023-08-24T08:37:56+00:00,2023-08-24T09:09:00+00:00,ap-northeast-2,ec2,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
awscli,arn:aws:iam::862279563460:user/awscli,2023-08-07T05:21:40+00:00,false,N/A,N/A,N/A,false,true,2023-08-07T05:22:00+00:00,2023-08-29T08:37:00+00:00,us-east-1,iam,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
gitops,arn:aws:iam::862279563460:user/gitops,2023-12-27T07:37:03+00:00,false,N/A,N/A,N/A,false,true,2023-12-27T07:38:11+00:00,2023-12-28T09:46:00+00:00,ap-northeast-2,ecr,true,2023-12-28T10:00:29+00:00,2023-12-29T14:48:00+00:00,ap-northeast-2,s3,false,N/A,false,N/A
jenkins,arn:aws:iam::862279563460:user/jenkins,2023-08-18T06:27:37+00:00,false,N/A,N/A,N/A,false,true,2023-08-18T06:28:07+00:00,2023-08-18T10:01:00+00:00,ap-northeast-2,ecs,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
kopsadmin,arn:aws:iam::862279563460:user/kopsadmin,2023-11-29T06:30:28+00:00,false,N/A,N/A,N/A,false,true,2023-11-29T06:31:12+00:00,2023-12-30T15:27:00+00:00,ap-northeast-2,ec2,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
s3admin,arn:aws:iam::862279563460:user/s3admin,2023-08-11T08:48:57+00:00,false,N/A,N/A,N/A,false,true,2023-08-11T08:49:24+00:00,2023-08-29T08:36:00+00:00,us-east-1,iam,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
terraform,arn:aws:iam::862279563460:user/terraform,2023-12-18T08:48:24+00:00,false,N/A,N/A,N/A,false,true,2023-12-18T08:49:13+00:00,2023-12-22T09:59:00+00:00,ap-northeast-2,s3,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A
vprofile-code-admin,arn:aws:iam::862279563460:user/vprofile-code-admin,2023-08-27T10:22:00+00:00,false,N/A,N/A,N/A,false,false,N/A,N/A,N/A,N/A,false,N/A,N/A,N/A,N/A,false,N/A,false,N/A